Tiempo,IPC,Creditos (millones S/) ,Creditos Reales,TIR,TM,TD,NO,DR,NO_Completada
Ene-15,81.13,222621.0,2744.0,3.25,3.01,0.38,4334.0,0.0,4334.0
Feb-15,81.38,223974.0,2752.2,3.25,3.02,0.38,4382.0,0.0,4382.0
Mar-15,82.0,227026.0,2768.61,3.25,2.96,0.36,4384.0,0.0,4384.0
Abr-15,82.32,231197.0,2808.52,3.25,3.02,0.35,4394.0,0.0,4394.0
May-15,82.78,234183.0,2828.98,3.25,3.09,0.35,4393.0,0.0,4393.0
Jun-15,83.06,234887.0,2827.92,3.25,3.04,0.33,4385.0,0.0,4385.0
Jul-15,83.43,236822.0,2838.57,3.25,3.07,0.33,4388.0,0.0,4388.0
Ago-15,83.75,241498.0,2883.56,3.25,3.04,0.32,4394.0,0.0,4394.0
Sep15,83.77,244438.0,2917.97,3.5,2.93,0.31,4397.0,0.0,4397.0
Oct-15,83.89,246500.0,2938.37,3.5,3.0,0.31,4396.0,0.0,4396.0
Nov-15,84.18,251501.0,2987.66,3.5,2.97,0.3,4402.0,0.0,4402.0
Dic-15,84.56,252256.0,2983.16,3.75,2.85,0.3,4424.0,0.0,4424.0
Ene-16,84.87,254227.0,2995.49,4.0,2.98,0.3,4443.0,0.0,4443.0
Feb-16,85.02,255781.0,3008.48,4.25,3.04,0.3,4463.0,0.0,4463.0
Mar-16,85.53,253561.0,2964.59,4.25,3.05,0.29,4468.0,0.0,4468.0
Abr-16,85.54,254374.0,2973.74,4.25,3.1,0.28,4455.0,0.0,4455.0
May-16,85.72,255745.0,2983.49,4.25,3.2,0.29,4463.0,0.0,4463.0
Jun-16,85.84,255497.0,2976.43,4.25,3.17,0.28,4463.0,0.0,4463.0
Jul-16,85.91,258870.0,3013.27,4.25,3.17,0.29,4466.0,0.0,4466.0
Ago-16,86.21,260161.0,3017.76,4.25,3.23,0.29,4470.0,0.0,4470.0
Sep16,86.39,261106.0,3022.41,4.25,3.17,0.29,4483.0,0.0,4483.0
Oct-16,86.75,260500.0,3002.88,4.25,3.26,0.29,4490.0,0.0,4490.0
Nov-16,87.0,263624.0,3030.16,4.25,3.26,0.28,4610.0,0.0,4610.0
Dic-16,87.29,264719.0,3032.64,4.25,3.09,0.29,4614.0,0.0,4614.0
Ene-17,87.5,261913.0,2993.29,4.25,3.27,0.28,4634.0,0.0,4634.0
Feb-17,87.78,262173.0,2986.71,4.25,3.31,0.28,4639.0,0.0,4639.0
Mar-17,88.93,262658.0,2953.54,4.25,3.32,0.28,4641.0,0.0,4641.0
Abr-17,88.7,263583.0,2971.62,4.25,3.38,0.28,4631.0,0.0,4631.0
May-17,88.32,265009.0,3000.55,4.0,3.46,0.28,4619.0,0.0,4619.0
Jun-17,88.18,264355.0,2997.9,4.0,3.41,0.29,4627.0,0.0,4627.0
Jul-17,88.36,266600.0,3017.2,3.75,3.48,0.29,4661.0,0.0,4661.0
Ago-17,88.95,267383.0,3005.99,3.75,3.49,0.29,4661.0,0.0,4661.0
Sep17,88.94,270036.0,3036.16,3.5,3.49,0.29,4660.0,0.0,4660.0
Oct-17,88.52,272160.0,3074.56,3.5,3.57,0.29,4660.0,0.0,4660.0
Nov-17,88.34,275960.0,3123.84,3.25,3.55,0.29,4651.0,0.0,4651.0
Dic-17,88.48,278284.0,3145.16,3.25,3.44,0.29,4651.0,0.0,4651.0
Ene-18,88.59,277439.0,3131.72,3.0,3.54,0.29,4658.0,0.0,4658.0
Feb-18,88.82,279614.0,3148.1,3.0,3.68,0.29,4655.0,0.0,4655.0
Mar-18,89.25,281939.0,3158.98,2.75,3.56,0.29,4661.0,0.0,4661.0
Abr-18,89.13,285482.0,3202.98,2.75,3.61,0.29,4665.0,0.0,4665.0
May-18,89.14,289176.0,3244.07,2.75,3.64,0.29,4665.0,0.0,4665.0
Jun-18,89.44,291676.0,3261.14,2.75,3.63,0.29,4673.0,0.0,4673.0
Jul-18,89.78,290779.0,3238.79,2.75,3.71,0.29,4680.0,0.0,4680.0
Ago-18,89.9,293684.0,3266.79,2.75,3.78,0.28,4687.0,0.0,4687.0
Sep18,90.07,296869.0,3295.98,2.75,3.65,0.28,4690.0,0.0,4690.0
Oct-18,90.15,300886.0,3337.62,2.75,3.68,0.28,4693.0,0.0,4693.0
Nov-18,90.26,303688.0,3364.59,2.75,3.65,0.28,4688.0,0.0,4688.0
Dic-18,90.42,307891.0,3405.12,2.75,3.49,0.28,4695.0,0.0,4695.0
Ene-19,90.48,304649.0,3367.03,2.75,3.6,0.28,4701.0,0.0,4701.0
Feb-19,90.6,303233.0,3346.94,2.75,3.64,0.28,4705.0,0.0,4705.0
Mar-19,91.25,308267.0,3378.27,2.75,3.59,0.28,4705.0,0.0,4705.0
Abr-19,91.44,309659.0,3386.47,2.75,3.65,0.28,4685.0,0.0,4685.0
May-19,91.57,311199.0,3398.48,2.75,3.7,0.28,4686.0,0.0,4686.0
Jun-19,91.49,313544.0,3427.08,2.75,3.67,0.27,4695.0,0.0,4695.0
Jul-19,91.68,315128.0,3437.26,2.75,3.72,0.27,4708.0,0.0,4708.0
Ago-19,91.74,319850.0,3486.48,2.5,3.73,0.28,4717.0,0.0,4717.0
Sep19,91.74,320984.0,3498.84,2.5,3.7,0.27,4714.0,0.0,4714.0
Oct-19,91.84,324400.0,3532.23,2.5,3.68,0.27,4724.0,0.0,4724.0
Nov-19,91.94,328833.0,3576.6,2.25,3.65,0.27,4730.0,0.0,4730.0
Dic-19,92.14,327729.0,3556.86,2.25,3.59,0.26,4715.0,0.0,4715.0
Ene-20,92.19,328297.0,3561.09,2.25,3.7,0.26,4719.0,0.0,4719.0
Feb-20,92.32,331646.0,3592.35,2.25,3.7,0.26,4721.0,0.0,4721.0
Mar-20,92.92,336437.0,3620.72,1.25,3.73,0.27,4720.0,0.0,4720.0
